,OGF_ID,FIRE_START_DATE,FIRE_GENERAL_CAUSE_CODE,FIRE_FINAL_SIZE,FIRE_YEAR,LONGITUDE,LATITUDE
57,46000288,2001/06/09 00:00:00+00,LTG,220,2001,-81.14482549092799,50.13469261523495
58,46000289,2001/07/23 00:00:00+00,LTG,70,2001,-87.1754037047125,50.06350504812526
59,46000294,2001/07/27 00:00:00+00,UNK,146,2001,-76.88059312618908,44.814907080258074
60,46000296,2001/05/01 00:00:00+00,MIS,87,2001,-81.78862539119825,43.279985969200965
61,46002051,2002/07/12 00:00:00+00,LTG,80,2002,-87.58856088416451,55.685352236736556
62,46002054,2002/06/27 00:00:00+00,LTG,90,2002,-91.35151725538302,54.19970010701525
63,46002055,2002/06/27 00:00:00+00,LTG,100,2002,-91.39206030925433,54.19376696324293
64,46002050,2002/07/08 00:00:00+00,LTG,40,2002,-88.85293836979444,54.00464053859587
65,46002033,2002/06/18 00:00:00+00,UNK,258,2002,-89.83171283906975,53.853322014227345
66,46001988,2002/07/08 00:00:00+00,LTG,500,2002,-84.62946799855686,53.842509494886215
67,46002034,2002/06/18 00:00:00+00,RES,550,2002,-90.32749870877821,53.797334010879084
68,46002042,2002/07/06 00:00:00+00,LTG,43,2002,-89.03807027001423,53.79978869863911
69,46001986,2002/07/08 00:00:00+00,LTG,100,2002,-84.77364863341867,53.758939077125746
70,46000132,2000/07/26 00:00:00+00,LTG,2858,2000,-94.37722217126601,52.28509854301639
71,46000120,2000/07/28 00:00:00+00,LTG,177,2000,-83.93182050771122,49.23424675431215
72,46000117,2000/03/10 00:00:00+00,UNK,60,2000,-94.2376684057135,48.833788707717346
73,46000112,2000/11/01 00:00:00+00,IDO,75,2000,-82.91009607795532,47.99683075024105
74,46000133,2000/04/25 00:00:00+00,RES,40,2000,-83.9983280069835,46.4294668015097
75,46000123,2000/05/03 00:00:00+00,MIS,60,2000,-76.51454297758026,45.19035061291245
76,46000111,2000/04/27 00:00:00+00,MIS,111,2000,-81.81672848216745,43.265024974509984
77,46000251,2001/06/09 00:00:00+00,LTG,250,2001,-89.4040440916987,56.412038794384685
78,46000253,2001/07/28 00:00:00+00,LTG,300,2001,-87.84022867110085,55.32917843714392
79,46000254,2001/07/28 00:00:00+00,LTG,150,2001,-87.7141983224057,54.89563052205742
80,46000255,2001/07/28 00:00:00+00,LTG,2750,2001,-87.10381557739062,54.51309350280167
81,46000257,2001/07/19 00:00:00+00,LTG,40,2001,-91.91763133156579,54.275556497050346
82,46000259,2001/07/20 00:00:00+00,LTG,60,2001,-91.4916892041567,54.16309308889866
83,46000264,2001/07/17 00:00:00+00,LTG,110,2001,-92.69778002658053,53.68180445368225
84,46000266,2001/06/08 00:00:00+00,LTG,110,2001,-88.00255885778837,53.43359892910247
85,46000261,2001/07/20 00:00:00+00,LTG,123,2001,-90.8673318709748,53.86051244918456
86,46000262,2001/07/20 00:00:00+00,LTG,382,2001,-88.31424893671436,53.78905272668705
87,46000263,2001/07/20 00:00:00+00,LTG,100,2001,-91.09529967303288,53.69019488940257
88,46000267,2001/07/20 00:00:00+00,LTG,85,2001,-88.00162757466425,53.429925477047995
89,46000270,2001/05/20 00:00:00+00,LTG,1700,2001,-83.37095782271268,52.94910959006219
90,46000271,2001/07/20 00:00:00+00,LTG,430,2001,-92.26876674149088,52.94120261311793
91,46000272,2001/06/04 00:00:00+00,MIS,62,2001,-82.50790934185719,52.93830821565992
92,46000275,2001/06/20 00:00:00+00,LTG,115,2001,-95.07669735621313,52.71193629165977
93,46002043,2002/07/10 00:00:00+00,IDF,135,2002,-91.7551881296834,50.929387176620324
94,46001990,2002/08/07 00:00:00+00,LTG,187,2002,-83.46142352408242,50.787330568734674
95,46001981,2002/07/11 00:00:00+00,LTG,62,2002,-80.3663113130214,50.708395942834194
96,46001994,2002/05/31 00:00:00+00,LTG,1113,2002,-92.97416728276728,49.996676308003444
97,46002006,2002/07/12 00:00:00+00,LTG,10994,2002,-86.93265779166735,49.04569373157974
98,46001996,2002/06/02 00:00:00+00,LTG,2200,2002,-88.52627399932011,48.488609496042656
99,46001819,1998/07/14 00:00:00+00,LTG,1200,1998,-83.8812377314061,51.14240842435971
100,46001838,1998/07/07 00:00:00+00,LTG,50,1998,-88.6168020426906,52.87006703515515
101,46001921,1999/08/29 00:00:00+00,LTG,50,1999,-85.31513027491913,52.83861279733838
102,46001882,1998/07/10 00:00:00+00,LTG,250,1998,-91.53860510987663,53.96252179588296
103,46002009,2002/07/14 00:00:00+00,LTG,350,2002,-87.08749369598819,53.64838876608405
104,46002040,2002/07/05 00:00:00+00,LTG,6000,2002,-89.97618908026092,53.50281270293366
105,46002019,2002/07/12 00:00:00+00,LTG,8914,2002,-93.78357721691557,53.459720979868045
106,46002020,2002/07/14 00:00:00+00,LTG,532,2002,-92.70979128094346,53.3874987541286
107,46002005,2002/07/11 00:00:00+00,LTG,360,2002,-85.65011888041725,51.644361570106554
108,46002022,2002/07/13 00:00:00+00,LTG,7269,2002,-93.92885971073522,51.407648378233475
109,46002029,2002/07/16 00:00:00+00,LTG,1647,2002,-93.06215634168325,51.401871763698175
110,46001980,2002/06/25 00:00:00+00,LTG,1966,2002,-83.76050758588462,51.39345481778393
111,46001991,2002/07/14 00:00:00+00,LTG,500,2002,-83.49474540232062,51.284744538429486
112,46001983,2002/07/14 00:00:00+00,LTG,187,2002,-83.2216126017398,51.28058029691836
113,46002001,2002/07/06 00:00:00+00,LTG,26000,2002,-86.43490667742401,51.18730548673303
114,46002024,2002/07/14 00:00:00+00,LTG,462,2002,-94.90590187085326,51.265531642267824
115,46002008,2002/07/16 00:00:00+00,LTG,350,2002,-88.26697700912271,51.11275680789537
116,46001998,2002/07/01 00:00:00+00,LTG,600,2002,-86.13570081318774,50.849467664794325
117,46002015,2002/07/14 00:00:00+00,LTG,178,2002,-94.09225414560169,50.81557576107753
118,46001978,2002/07/02 00:00:00+00,LTG,40,2002,-80.70990135260452,50.6389831245124
119,46002063,2002/09/18 00:00:00+00,MIS,450,2002,-87.16616090445606,50.152201066486555
120,46001993,2002/07/01 00:00:00+00,LTG,243,2002,-81.32331379855107,50.1353510750103
121,46002062,2002/08/27 00:00:00+00,MIS,1000,2002,-87.16821388865795,50.05821490328451
122,46002047,2002/05/23 00:00:00+00,LTG,625,2002,-89.39045211516436,49.61153858208111
123,46002010,2002/07/16 00:00:00+00,LTG,375,2002,-88.16383649494645,48.66968690197123
124,46002011,2002/07/29 00:00:00+00,MIS,573,2002,-77.49647556971814,45.90201414653781
125,46002061,2002/08/09 00:00:00+00,MIS,135,2002,-77.83320235958125,45.54370781342672
126,46001848,1998/07/16 00:00:00+00,LTG,175,1998,-88.40098430653534,50.02047764132513
127,46001893,1998/07/05 00:00:00+00,LTG,50,1998,-89.11485469557009,53.79149201396769
128,46001840,1998/07/08 00:00:00+00,LTG,9800,1998,-88.39742977306926,52.24036774151962
129,46001820,1998/07/14 00:00:00+00,LTG,1100,1998,-83.50269019241513,51.42606019928802
130,46001900,1998/04/30 00:00:00+00,UNK,26400,1998,-89.15715628222495,49.640960874089366
131,46001812,1998/07/08 00:00:00+00,LTG,500,1998,-80.83057510256967,50.06362209544164
132,46002026,2002/07/14 00:00:00+00,LTG,10500,2002,-94.07829370972306,53.3990045340087
133,46002003,2002/07/08 00:00:00+00,LTG,600,2002,-87.28772115302101,53.38066129990151
134,46002031,2002/07/14 00:00:00+00,LTG,695,2002,-93.22013097277458,53.343001856868575
135,46002046,2002/07/17 00:00:00+00,LTG,175,2002,-90.24725694410242,53.149820802980315
136,46002025,2002/07/12 00:00:00+00,LTG,312,2002,-94.01333618384994,53.07975553938912
137,46001992,2002/06/28 00:00:00+00,REC,140,2002,-82.6217536222016,52.92372825883804
138,46002013,2002/07/13 00:00:00+00,LTG,4536,2002,-93.49648966918747,52.78765432721365
139,46001984,2002/07/12 00:00:00+00,LTG,250,2002,-82.66223686433084,52.74424433888457
140,46002021,2002/07/14 00:00:00+00,LTG,100,2002,-93.37234495682763,52.72142702670751
141,46002012,2002/07/13 00:00:00+00,LTG,3923,2002,-93.2536634519198,52.63971900237168
142,46002030,2002/07/16 00:00:00+00,LTG,162,2002,-93.58544814031822,52.38050079386305
143,46002036,2002/07/04 00:00:00+00,LTG,150,2002,-90.64452486010137,52.20080073197038
144,46002002,2002/07/08 00:00:00+00,LTG,60,2002,-87.84800244950145,52.12868094513551
145,46002004,2002/07/09 00:00:00+00,LTG,2350,2002,-86.58297955388339,52.11967141980394
146,46002028,2002/07/15 00:00:00+00,LTG,531,2002,-93.15060115178026,51.802095463215906
147,46001995,2002/07/18 00:00:00+00,LTG,125,2002,-88.6552633108557,53.953194166758514
148,46002037,2002/06/28 00:00:00+00,LTG,335,2002,-90.36219383753485,53.91219912032697
149,46002045,2002/07/15 00:00:00+00,LTG,80,2002,-91.82945341321773,53.89802043800371
150,46002044,2002/07/12 00:00:00+00,LTG,4400,2002,-91.54329017220883,53.812689742398916
151,46002000,2002/07/05 00:00:00+00,LTG,200,2002,-88.94618611057703,53.81380062479997
152,46002032,2002/07/15 00:00:00+00,LTG,1229,2002,-92.8927119273532,53.76859900116483
153,46001999,2002/07/04 00:00:00+00,LTG,150,2002,-88.99478922803007,53.74949752190211
154,46002041,2002/07/06 00:00:00+00,LTG,95,2002,-91.76521922029606,53.64132606180838
155,46002039,2002/07/05 00:00:00+00,LTG,10000,2002,-90.91405156163806,53.59904802327257
156,46002023,2002/06/24 00:00:00+00,LTG,14654,2002,-92.74630352243115,53.48472086709403
157,46002018,2002/07/14 00:00:00+00,LTG,70,2002,-94.05723650617666,53.414726322013514
158,46002017,2002/07/13 00:00:00+00,LTG,70,2002,-94.05977274400902,53.40369942957805
159,46001987,2002/07/15 00:00:00+00,LTG,100,2002,-84.55571758600239,53.40146042746205
160,46001997,2002/07/01 00:00:00+00,LTG,2600,2002,-87.83053707088418,53.364033214815244
161,46002007,2002/07/13 00:00:00+00,LTG,300,2002,-86.20700531508312,53.19984001912193
162,46002016,2002/07/13 00:00:00+00,LTG,3070,2002,-93.95492132702847,53.045493857048264
163,46002014,2002/07/13 00:00:00+00,LTG,4536,2002,-93.56086050461525,52.87316516170431
164,46001982,2002/07/01 00:00:00+00,LTG,80,2002,-85.01079025438517,52.67267180031647
165,46001985,2002/07/20 00:00:00+00,LTG,561,2002,-82.97164317308241,52.16681308265933
166,46002027,2002/07/15 00:00:00+00,LTG,2112,2002,-92.48528785896637,52.04256435261041
167,46002035,2002/06/30 00:00:00+00,MIS,589,2002,-90.13603939148575,51.48410965042046
168,46001979,2002/06/25 00:00:00+00,LTG,749,2002,-83.46955633700836,51.42392723269247
169,46001989,2002/07/13 00:00:00+00,LTG,100,2002,-85.23744839057929,51.06664976349255
170,46001807,1998/06/20 00:00:00+00,LTG,200,1998,-81.12512868439006,50.75279164596929
171,46001918,1999/08/30 00:00:00+00,LTG,100,1999,-84.04413392597372,53.24427753006548
172,46001870,1998/07/07 00:00:00+00,LTG,80,1998,-89.9379569531777,53.568286248212786
173,46001947,1999/05/28 00:00:00+00,IDF,450,1999,-92.57875818069748,50.8039280067204
174,46001915,1999/08/18 00:00:00+00,LTG,300,1999,-83.12298397673864,52.71723993225496
175,46001973,1999/06/05 00:00:00+00,LTG,400,1999,-88.67495625913665,54.9658791660575
176,46001835,1998/07/05 00:00:00+00,LTG,65,1998,-88.98848301961642,53.66878480064994
177,46001823,1998/03/31 00:00:00+00,INC,160,1998,-94.53319092756493,48.7601816236341
178,46001808,1998/06/23 00:00:00+00,LTG,430,1998,-84.04452812055128,53.71029004486164
179,46001844,1998/07/09 00:00:00+00,LTG,400,1998,-88.87299010994376,52.377359610659006
180,46001810,1998/06/24 00:00:00+00,LTG,10000,1998,-85.16913809192936,52.198652271601304
181,46001827,1998/06/21 00:00:00+00,LTG,2454,1998,-86.98825776579724,49.116964455932376
182,46001878,1998/07/08 00:00:00+00,LTG,509,1998,-90.36094538251541,52.530143392247126
183,46001899,1998/07/10 00:00:00+00,LTG,135,1998,-88.90787131365461,49.629935793055836
184,46001885,1998/08/06 00:00:00+00,LTG,950,1998,-89.80971944377652,51.84858456816554
185,46001804,1998/06/09 00:00:00+00,REC,75,1998,-82.5382109926622,52.94832924650628
186,46001919,1999/08/30 00:00:00+00,LTG,200,1999,-83.30269828368444,53.35586422661538
187,46001877,1998/07/09 00:00:00+00,LTG,105,1998,-89.29649972936097,53.112321794752354
188,46001951,1999/04/23 00:00:00+00,RES,115,1999,-83.66209496926943,46.36738105297449
189,46001872,1998/07/08 00:00:00+00,LTG,1000,1998,-89.06348175201076,51.99939098105669
190,46001865,1998/04/10 00:00:00+00,RES,50,1998,-84.10267214839126,46.41187192816091
